mid,bid,created_at,text_preview,video_title,reposts,comments,attitudes,video_url,duration_sec,thumbnail,is_collab,partner,category
5259276953848228,QoS3Zg96c,2026-01-26T02:00:01+00:00,#和平精英古墓迷途##和平精英丝路贺新春# 1月27日，由@洛阳文旅集团  指导， 和平精英古墓迷途 × @洛阳古墓博物馆 深度联动开启！● 镇馆之宝妇人启门图,和平精英的微博视频,7,13,31,"https://f.video.weibocdn.com/u0/eO3s21QCgx08uNShX6ha01041200AxGg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603221&ssig=30IcIFsbhW&KID=unistore,video",64.783,https://wx4.sinaimg.cn/orj480/007KbAWFgy1i9m417kpu2j31hc0u0e82.jpg,1,洛阳古墓博物馆,Other
5212664810443172,Q5jt71RhW,2025-09-19T11:00:00+00:00,#特种兵行为指南##HIT安全系统##和平精英# 行为巡查！正式公测！巡查体系升级，惩处不良行为【特种兵行为指南：第八弹】HIT1.4巡查系统大升级，行为巡查开,和平精英的微博视频,149,116,31,"https://f.video.weibocdn.com/u0/w0Q9I6urgx08rwSHEEI801041200XN3h0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772608691&ssig=FnJGrCLMpi&KID=unistore,video",162.935,https://wx2.sinaimg.cn/orj480/007KbAWFgy1i5iz9a12mqj31hc0u04qp.jpg,0,,
5271598140493863,Qu2AS24tx,2026-03-01T02:00:01+00:00,和平精英#想去你的2026# 易泽顶着手伤训练，遭韩澈怒斥 和平精英的微博视频,和平精英的微博视频,1,20,30,"https://f.video.weibocdn.com/u0/PMRBp8Afgx08vCtOETaw01041201nbdK0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603143&ssig=UU7zY1LYXe&KID=unistore,video",196.998,https://wx4.sinaimg.cn/orj480/007KbAWFgy1iamsjpj1rhj31hc0u04qp.jpg,0,,
5265195955913896,Qrm2LoOtq,2026-02-11T10:00:01+00:00,#和平精英##战斗体验圆桌会##和平精英古墓迷途#策划解读古墓迷途优化！对局收益、玩法机制、角色平衡全面升级！【战斗体验圆桌会：第30期】策划团队始终关注探险家,和平精英的微博视频,17,11,30,"https://f.video.weibocdn.com/u0/bW1GGCGrgx08vgCs7Wzu01041201haO00E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603191&ssig=C7466pAcwu&KID=unistore,video",163.723,https://wx2.sinaimg.cn/orj480/007KbAWFgy1ia6y2k3xpxj31hc0u01ky.jpg,0,,
5269136922117802,Qt0za8SW6,2026-02-22T07:00:01+00:00,#想去你的2026##和平精英丝路敦煌#「想去你的2026」独家片场花絮来袭！互坑名场面笑疯，神操作直接封神！不求人×鲨鱼搞笑高光一次看爽！ 和平精英的微博视频,和平精英的微博视频,47,8,29,"https://f.video.weibocdn.com/u0/mmCfWbLIgx08vmCYnjj201041200kmeB0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603152&ssig=3MSo85c%2Bqf&KID=unistore,video",32.902,https://wx3.sinaimg.cn/orj480/007KbAWFgy1iabaxy94kdj31hc0u0hdt.jpg,0,,
5266361487988438,QrQmExw9M,2026-02-14T15:11:26+00:00,#和平精英春节双神装降临##和平精英新春祈福巡游来了#双神佛山年夜饭开席，特种兵请落座🏮大吉大利，双神赐福！和平好运天团邀你共进年夜饭，年年岁岁，常乐今朝 和平,和平精英的微博视频,68,11,29,"https://f.video.weibocdn.com/u0/ob9HfWAQgx08vlx57lfi01041201iNwA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603169&ssig=Kr7MgtR5QK&KID=unistore,video",61.788,https://wx1.sinaimg.cn/orj480/007KbAWFgy1iaahzxpo1hj30go0m8k6v.jpg,0,,
5266252920527653,QrNxy2dgx,2026-02-14T08:00:01+00:00,#和平精英##HIT安全系统#红装、传世武装扫码即送？谨防诈骗！【和平反诈小剧场：第2集】新春佳节，各类诈骗花样翻新！陌生二维码背后可能藏着账号被盗的风险，警惕,和平精英的微博视频,3,11,29,"https://f.video.weibocdn.com/u0/ITByEkLhgx08vgtuqxzW01041200BByM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603174&ssig=KtPaldeTaI&KID=unistore,video",99.335,https://wx2.sinaimg.cn/orj480/007KbAWFgy1ia6udyhmm0j31hc0u0x5p.jpg,0,,
5260107424204939,QpdFshDTB,2026-01-28T09:00:01+00:00,#和平精英##和平精英丝路敦煌##和平精英丝路贺新春# 新春主题海岛&主题沙漠上手一览 1月27日「丝路敦煌」马年新春主题海岛&主题沙漠惊喜上线！全新主题城区、,和平精英的微博视频,1,15,28,"https://f.video.weibocdn.com/u0/4UiuQkqHgx08uTJ09yS401041204ze830E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603215&ssig=fkS5pr1BNr&KID=unistore,video",267.5,https://wx2.sinaimg.cn/orj480/007KbAWFgy1i9qcqg4uk9j31hc0u0x6p.jpg,1,敦煌,Other
5272323671466811,Qult569Af,2026-03-03T02:03:01+00:00,和平精英#想去你的2026# “伞兵”、易泽对掏战，打仗还得亲兄弟！ 和平精英的微博视频,和平精英的微博视频,4,15,27,"https://f.video.weibocdn.com/u0/7CudCFpVgx08vCu9wd0c01041201rt1r0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603140&ssig=5uGnphq0ca&KID=unistore,video",177.493,https://wx3.sinaimg.cn/orj480/007KbAWFgy1iamsp0mqtqj31hc0u04qp.jpg,0,,
5272322917007767,QulrRtp2v,2026-03-03T02:00:00+00:00,和平精英#想去你的2026# “易泽”赛场骚操作，遭PEL电竞选手集体吐槽 和平精英的微博视频,和平精英的微博视频,1,19,27,"https://f.video.weibocdn.com/u0/soOJL8Ibgx08vCu4Mo9a010412015DJf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603140&ssig=NczZ%2Bc02xz&KID=unistore,video",147.771,https://wx2.sinaimg.cn/orj480/007KbAWFgy1iamso6c2j9j31hc0u04qp.jpg,0,,
5270511732133761,QtAkB8X5v,2026-02-26T02:03:01+00:00,和平精英#想去你的2026# 一休示爱铁牛，遭武子弈盲狙！韩澈、易泽靠平底锅夺得苏尔南钻 和平精英的微博视频,和平精英的微博视频,4,19,27,"https://f.video.weibocdn.com/u0/idoqocTjgx08vCttybP201041201lGTf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603148&ssig=X7JzAYItj4&KID=unistore,video",232.083,https://wx1.sinaimg.cn/orj480/007KbAWFgy1iamsdvpuytj31hc0u04qp.jpg,0,,
5269426074033574,Qt85xgVjE,2026-02-23T02:09:00+00:00,和平精英 #想去你的2026# 电竞&面试双双失败？易泽韩澈决裂，分道扬镳 和平精英的微博视频,和平精英的微博视频,66,15,27,"https://f.video.weibocdn.com/u0/v3DNtYD0gx08vi4hWN8Q01041201dEIe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603150&ssig=k%2B1mFx1VcR&KID=unistore,video",213.321,https://wx1.sinaimg.cn/orj480/007KbAWFgy1ia7zwsfeuoj31hc0u04qp.jpg,0,,
5258219991597200,Qoqzd6Hvi,2026-01-23T04:00:01+00:00,#和平精英新皮肤##和平精英钻光豹影# 新皮肤爆料 | 璀璨钻光，暗夜豹影！全新套装 -【钻光豹影】1月24日正式上线~动作-幽影猎拳同步来袭 霓虹交错，夜半生,和平精英的微博视频,3,21,27,"https://f.video.weibocdn.com/u0/7gitNgxngx08uIWxnmM00104120068aP0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603228&ssig=Z3W865UMot&KID=unistore,video",16.858,https://wx2.sinaimg.cn/orj480/007KbAWFgy1i9ijghcn1ij31400u0q4m.jpg,0,,
