Partner,Category,Video Count,Total Views,Total Likes,Total Comments,Avg Views,First Collab,Last Collab
Kinjaz,Artist,1,670643,741,47,670643.0,2024-03-26T00:00:24+00:00,2024-03-26T00:00:24+00:00
Denny Wewey,Other,1,639681,502,49,639681.0,2023-02-18T20:30:02+00:00,2023-02-18T20:30:02+00:00
Resident Evil,Game,3,570852,20574,2093,190284.0,2018-12-03T09:35:47+00:00,2019-03-07T13:44:48+00:00
OnePlus,Brand,9,517796,21232,386,57533.0,2020-04-04T04:35:54+00:00,2022-01-23T16:41:15+00:00
Giannis Antetokounmpo,Artist,1,515061,1990,147,515061.0,2019-07-30T17:05:30+00:00,2019-07-30T17:05:30+00:00
Qualcomm,Brand,3,475471,13465,237,158490.0,2021-01-24T17:26:12+00:00,2021-01-26T18:18:19+00:00
Wicked Gaming,IP,15,431855,15402,855,28790.0,2018-06-03T17:58:12+00:00,2018-12-05T02:38:08+00:00
Powerbang,IP,2,419489,5810,552,209745.0,2018-05-25T23:56:38+00:00,2020-05-14T02:57:18+00:00
BAPE,IP,7,403822,11192,1979,57689.0,2018-10-06T09:16:40+00:00,2018-10-17T04:43:36+00:00
Esports World Cup,Other,8,387132,6212,40,48392.0,2024-07-19T16:50:15+00:00,2024-07-28T18:21:12+00:00
Rockstar Energy,IP,5,369327,1506,126,73865.0,2023-04-25T13:00:35+00:00,2025-11-25T18:00:16+00:00
Jeb Corliss,IP,1,366036,12623,24,366036.0,2024-03-22T03:36:19+00:00,2024-03-22T03:36:19+00:00
TheActionLab,Artist,1,338928,288,27,338928.0,2023-05-03T20:00:19+00:00,2023-05-03T20:00:19+00:00
Dr. Mark Loewen,Other,1,276823,356,36,276823.0,2023-06-03T21:16:00+00:00,2023-06-03T21:16:00+00:00
Sychron Stage Vienna Golden Moon OST Behind The Scenes,Artist,1,259767,456,58,259767.0,2023-04-08T18:44:00+00:00,2023-04-08T18:44:00+00:00
Hafþór Júlíus Björnsson,Other,1,254912,1665,4,254912.0,2024-12-11T23:52:23+00:00,2024-12-11T23:52:23+00:00
Dr Disrespect,Artist,3,208153,6322,297,69384.0,2021-10-22T17:01:13+00:00,2021-10-31T20:00:13+00:00
Xperia 1 IV,Brand,12,202718,6985,57,16893.0,2022-11-17T16:06:27+00:00,2023-01-08T16:43:09+00:00
The7WorldsGaming,IP,4,187116,7153,178,46779.0,2018-05-12T04:04:56+00:00,2018-06-27T03:34:29+00:00
DarWin,Artist,1,178653,1901,56,178653.0,2024-05-15T03:00:06+00:00,2024-05-15T03:00:06+00:00
Razer,IP,2,175899,5612,204,87950.0,2018-06-23T23:35:50+00:00,2018-06-24T22:53:27+00:00
Mia Khalifa,Artist,1,175280,4982,421,175280.0,2018-05-11T03:33:40+00:00,2018-05-11T03:33:40+00:00
Global Green,IP,2,150146,5334,233,75073.0,2019-12-10T05:59:00+00:00,2019-12-22T08:42:33+00:00
Yanrique,IP,2,146137,6323,557,73069.0,2018-10-15T23:00:00+00:00,2018-12-12T03:41:22+00:00
TRANSFORMERS Epic,Movie,1,144818,145,17,144818.0,2025-08-23T01:30:23+00:00,2025-08-23T01:30:23+00:00
Dolby Atmos,IP,1,138708,5350,329,138708.0,2023-03-21T16:30:07+00:00,2023-03-21T16:30:07+00:00
ALPHA 7 ESPORTS,IP,1,130805,315,31,130805.0,2024-09-23T22:16:16+00:00,2024-09-23T22:16:16+00:00
Resident Evil 2,Game,2,121522,4795,378,60761.0,2019-02-25T14:15:01+00:00,2019-02-28T12:00:02+00:00
Delicious Shawarma,IP,1,119748,563,16,119748.0,2025-03-31T19:30:26+00:00,2025-03-31T19:30:26+00:00
FaZe Clan,Other,2,118272,3633,262,59136.0,2019-08-01T17:09:54+00:00,2023-06-25T00:52:00+00:00
Butterfinger,IP,1,110047,3139,235,110047.0,2022-05-12T17:00:02+00:00,2022-05-12T17:00:02+00:00
Powerbang Gaming,IP,1,108236,1678,63,108236.0,2018-07-10T22:37:52+00:00,2018-07-10T22:37:52+00:00
YAMAHA,Brand,1,108037,6757,479,108037.0,2020-06-30T05:00:14+00:00,2020-06-30T05:00:14+00:00
Hans Zimmer,Artist,3,93544,965,29,31181.0,2024-07-23T19:00:40+00:00,2024-08-27T20:30:26+00:00
Wynnsanity,IP,2,88445,498,61,44223.0,2024-08-28T17:00:13+00:00,2024-10-28T20:27:21+00:00
Indian Motorcycle,IP,8,82179,3550,295,10272.0,2024-09-13T17:00:02+00:00,2024-10-10T02:00:27+00:00
Bushka,IP,4,75998,2194,150,19000.0,2018-07-11T05:29:34+00:00,2018-09-28T06:38:52+00:00
Apple,Brand,1,69543,658,132,69543.0,2024-05-07T17:00:36+00:00,2024-05-07T17:00:36+00:00
Outsider9k,IP,1,68097,1889,175,68097.0,2019-04-13T12:00:06+00:00,2019-04-13T12:00:06+00:00
HONOR,Brand,5,65017,1800,28,13003.0,2023-07-16T16:19:04+00:00,2023-07-23T21:16:28+00:00
Facebook Gaming,Other,1,63672,1728,126,63672.0,2019-06-25T23:34:20+00:00,2019-06-25T23:34:20+00:00
Deadmau5,Artist,1,61605,2077,234,61605.0,2018-09-02T03:56:10+00:00,2018-09-02T03:56:10+00:00
Compliments And Bullets,IP,1,60713,630,20,60713.0,2025-03-30T18:00:21+00:00,2025-03-30T18:00:21+00:00
Gamers8,Other,2,55392,1270,7,27696.0,2023-07-14T18:04:22+00:00,2023-07-15T19:27:57+00:00
Amazon Prime,Brand,1,54055,1656,150,54055.0,2019-09-24T00:03:28+00:00,2019-09-24T00:03:28+00:00
POLARIS,IP,1,51644,429,23,51644.0,2023-01-16T15:00:18+00:00,2023-01-16T15:00:18+00:00
Julien Fournié,Artist,2,51066,1650,97,25533.0,2021-12-25T02:00:17+00:00,2022-01-28T02:00:16+00:00
NAILOONG,IP,4,48402,975,73,12101.0,2025-08-18T00:00:34+00:00,2025-08-20T22:02:24+00:00
Vivo,Brand,2,43874,2558,154,21937.0,2019-07-29T19:59:16+00:00,2019-11-29T18:47:36+00:00
BAPE Exclusive Outfit,IP,1,42802,2510,255,42802.0,2018-12-26T22:00:00+00:00,2018-12-26T22:00:00+00:00
Warner Bros. Entertainment,Movie,1,41848,276,21,41848.0,2024-08-26T21:00:38+00:00,2024-08-26T21:00:38+00:00
Angry Birds,IP,1,41567,1874,90,41567.0,2019-12-21T06:30:00+00:00,2019-12-21T06:30:00+00:00
The7WG FINALLY TEAM UP,IP,1,40956,1501,105,40956.0,2018-08-15T09:12:07+00:00,2018-08-15T09:12:07+00:00
Wildcard,Other,1,40581,1463,184,40581.0,2018-11-07T01:00:00+00:00,2018-11-07T01:00:00+00:00
Angry Birds Gear,IP,1,39280,1736,74,39280.0,2019-12-19T20:23:41+00:00,2019-12-19T20:23:41+00:00
Derek G,IP,3,33409,1230,66,11136.0,2018-09-30T00:53:57+00:00,2018-10-01T02:58:07+00:00
Super League Gaming,Other,2,32716,1875,141,16358.0,2020-03-31T23:25:11+00:00,2020-06-07T13:00:09+00:00
Megan Fox & Brian Austin Green,Other,1,30740,2019,127,30740.0,2019-10-30T16:58:37+00:00,2019-10-30T16:58:37+00:00
Wicked Gaming Week,IP,1,27784,860,41,27784.0,2018-07-20T14:49:52+00:00,2018-07-20T14:49:52+00:00
Ivana Raca,Other,1,25543,612,26,25543.0,2018-06-10T03:08:36+00:00,2018-06-10T03:08:36+00:00
DUNE,Movie,1,22302,1445,97,22302.0,2021-10-19T02:30:13+00:00,2021-10-19T02:30:13+00:00
"R3HAB, Alesso, Lost Frequencies",Artist,1,21948,1437,111,21948.0,2021-04-08T20:00:12+00:00,2021-04-08T20:00:12+00:00
TOP from Falcons Force,IP,1,21459,209,28,21459.0,2024-07-03T18:01:32+00:00,2024-07-03T18:01:32+00:00
Liverpool,IP,1,18218,1128,74,18218.0,2021-11-12T02:00:06+00:00,2021-11-12T02:00:06+00:00
ECHO Gaming,IP,1,17898,714,65,17898.0,2018-09-27T02:53:44+00:00,2018-09-27T02:53:44+00:00
RPA 1,IP,1,15686,905,19,15686.0,2023-07-01T18:37:00+00:00,2023-07-01T18:37:00+00:00
Riley,IP,1,14489,220,26,14489.0,2022-10-02T21:15:00+00:00,2022-10-02T21:15:00+00:00
PDP Creators Documentary,IP,1,14354,526,33,14354.0,2025-08-22T18:02:23+00:00,2025-08-22T18:02:23+00:00
Noah Gragson,Artist,2,14322,756,56,7161.0,2019-11-08T07:00:04+00:00,2019-12-16T11:02:45+00:00
Grubhub,Brand,2,14101,616,41,7051.0,2022-12-07T03:18:18+00:00,2022-12-12T21:36:15+00:00
Gamers8 Esports,Other,1,12781,639,79,12781.0,2022-06-30T18:45:00+00:00,2022-06-30T18:45:00+00:00
VOICEPLAY,Artist,1,11924,490,66,11924.0,2023-05-01T18:00:05+00:00,2023-05-01T18:00:05+00:00
JustMaiko,Artist,1,11430,140,18,11430.0,2024-03-01T18:52:01+00:00,2024-03-01T18:52:01+00:00
Yoodo Alliance,Other,1,9442,121,20,9442.0,2023-08-30T21:15:01+00:00,2023-08-30T21:15:01+00:00
Shelby,IP,1,8287,147,15,8287.0,2025-05-11T00:00:26+00:00,2025-05-11T00:00:26+00:00
JUN ONG,Artist,1,8090,507,24,8090.0,2023-01-06T21:00:16+00:00,2023-01-06T21:00:16+00:00
2Day Dance,Other,1,7768,258,23,7768.0,2023-04-21T20:25:51+00:00,2023-04-21T20:25:51+00:00
Bohemia,Movie,1,6785,347,62,6785.0,2025-02-09T23:11:24+00:00,2025-02-09T23:11:24+00:00
Bernth,Artist,1,6632,219,28,6632.0,2023-08-14T22:46:00+00:00,2023-08-14T22:46:00+00:00
Street Panna,IP,1,6130,290,8,6130.0,2024-06-24T20:15:17+00:00,2024-06-24T20:15:17+00:00
Volkswagen Beetle,IP,1,6091,206,52,6091.0,2024-09-18T01:30:33+00:00,2024-09-18T01:30:33+00:00
XP-PEN,Brand,1,4899,128,10,4899.0,2025-11-28T02:00:16+00:00,2025-11-28T02:00:16+00:00
Account Theft,IP,1,4620,119,18,4620.0,2023-07-28T23:00:32+00:00,2023-07-28T23:00:32+00:00
Helton of Team Secret,IP,1,3767,81,6,3767.0,2023-10-23T22:02:01+00:00,2023-10-23T22:02:01+00:00
Rollexxx,Artist,1,3223,186,3,3223.0,2024-12-10T01:11:18+00:00,2024-12-10T01:11:18+00:00
Volkswagen Vehicle and Attachment Design Contest Results,IP,1,2525,201,12,2525.0,2024-11-09T01:00:32+00:00,2024-11-09T01:00:32+00:00
TheVovkaCom,IP,1,2452,71,3,2452.0,2025-07-17T22:02:47+00:00,2025-07-17T22:02:47+00:00
